rank,title,year,date,city,state,country,latitude,longitude,gross,posterURL
29,Shakespeare in Love,1998,11-Dec-98,London,,England,51.51,-0.13,"$100,317,794 ",https://upload.wikimedia.org/wikipedia/en/e/e8/Shakespeare_in_Love_1998_Poster.jpg
30,Norbit,2007,9-Feb-07,Red Boiling Springs,TN,USA,36.5333888,-85.8499798,"$95,673,607 ",https://upload.wikimedia.org/wikipedia/en/6/60/Norbit_%282007_film%29_poster.jpg
31,Arthur,1981,17-Jul-81,New York City,NY,USA,40.71,-74.01,"$95,461,682 ",https://upload.wikimedia.org/wikipedia/en/7/7b/Arthur_%281981_film%29_poster.jpg
32,Sex and the City 2,2010,27-May-10,New York City,NY,USA,40.71,-74.01,"$95,347,692 ",https://upload.wikimedia.org/wikipedia/en/2/2d/Sex_and_the_City_2_poster.jpg
32,Sex and the City 2,2010,27-May-10,Abu Dhabi,,UAE,24.4538352,54.3774014,"$95,347,692 ",https://upload.wikimedia.org/wikipedia/en/2/2d/Sex_and_the_City_2_poster.jpg
33,Maid in Manhattan,2002,13-Dec-02,New York City,NY,USA,40.71,-74.01,"$94,011,225 ",https://upload.wikimedia.org/wikipedia/en/3/3c/Maid_in_manhattan.jpg
34,He's Just Not That Into You,2009,6-Feb-09,Baltimore,MD,USA,39.2908816,-76.610759,"$93,953,653 ",https://upload.wikimedia.org/wikipedia/en/2/2e/Notintoyouposter.jpg
35,America's Sweethearts,2001,20-Jul-01,Las Vegas,NV,USA,36.1672559,-115.148516,"$93,607,673 ",https://upload.wikimedia.org/wikipedia/en/4/4e/Americas_sweethearts_poster.jpg
36,Two Weeks Notice,2002,20-Dec-02,New York City,NY,USA,40.71,-74.01,"$93,354,851 ",https://upload.wikimedia.org/wikipedia/en/7/73/Two_weeks_notice_ver2.jpg
37,When Harry Met Sally...,1989,14-Jul-89,New York City,NY,USA,40.71,-74.01,"$92,823,546 ",https://upload.wikimedia.org/wikipedia/en/1/1c/WhenHarryMetSallyPoster.jpg
38,Think Like a Man,2012,20-Apr-12,Los Angeles,CA,USA,34.05,-118.24,"$91,547,205 ",https://upload.wikimedia.org/wikipedia/en/c/c3/ThinkLikeAManPoster.jpg
39,The Ugly Truth,2009,24-Jul-09,Sacramento,CA,USA,38.581667,-121.494444,"$88,915,214 ",https://upload.wikimedia.org/wikipedia/en/a/ad/Ugly_truth.jpg
40,Failure to Launch,2006,10-Mar-06,Baltimore,MD,USA,39.2908816,-76.610759,"$88,715,192 ",https://upload.wikimedia.org/wikipedia/en/8/87/Failure_to_Launch.jpg
41,Along Came Polly,2004,16-Jan-04,New York City,NY,USA,40.71,-74.01,"$88,097,164 ",https://upload.wikimedia.org/wikipedia/en/b/ba/Along_Came_Polly.jpg
42,"Crazy, Stupid, Love.",2011,29-Jul-11,Los Angeles,CA,USA,34.05,-118.24,"$84,351,197 ",https://upload.wikimedia.org/wikipedia/en/7/78/CrazyStupidLovePoster.jpg
43,While You Were Sleeping,1995,21-Apr-95,Chicago,IL,USA,41.88,-87.62,"$81,057,016 ",https://upload.wikimedia.org/wikipedia/en/e/e6/Whilesleepingposter.jpg
44,Moonstruck,1987,18-Dec-87,New York City,NY,USA,40.71,-74.01,"$80,640,528 ",https://upload.wikimedia.org/wikipedia/en/7/7d/Chermoonstruck.jpg
45,What Happens in Vegas,2008,9-May-08,New York City,NY,USA,40.71,-74.01,"$80,277,646 ",https://upload.wikimedia.org/wikipedia/en/2/23/What_happens_in_vegas.jpg
45,What Happens in Vegas,2008,9-May-08,Las Vegas,NV,USA,36.1672559,-115.148516,"$80,277,646 ",https://upload.wikimedia.org/wikipedia/en/2/23/What_happens_in_vegas.jpg
46,The Wedding Singer,1998,13-Feb-98,Ridgefield,NJ,USA,40.8342669,-74.0087505,"$80,245,725 ",https://upload.wikimedia.org/wikipedia/en/8/84/The_Wedding_Singer_film_poster.jpg
47,27 Dresses,2008,18-Jan-08,New York City,NY,USA,40.71,-74.01,"$76,808,654 ",https://upload.wikimedia.org/wikipedia/en/4/48/Twenty_seven_dresses.jpg
48,10,1979,5-Oct-79,Los Angeles,CA,USA,34.05,-118.24,"$74,865,517 ",https://upload.wikimedia.org/wikipedia/en/6/67/10_1979_film_poster.jpg
49,Six Days Seven Nights,1998,12-Jun-98,Makatea,,French Polynesia,-15.85,-148.25,"$74,339,294 ",https://upload.wikimedia.org/wikipedia/en/d/d2/Six_days_seven_nights.jpg
50,Bridget Jones's Diary,2001,13-Apr-01,London,,England,51.51,-0.13,"$71,543,427 ",https://upload.wikimedia.org/wikipedia/en/1/17/BridgetJonesDiaryMoviePoster.jpg
